3alpha_code,name_en,scientific_name,genus,family,major_group,isscaap_group,name_no_nei,fao_group,match_category,species
bew,NA,NA,NA,NA,NA,NA,NA,NA,NA,baird's beaked whale
zfl,NA,NA,NA,NA,NA,NA,NA,NA,NA,sato’s beaked whale
bow,NA,NA,NA,NA,NA,NA,NA,NA,NA,northern bottlenose whale
srw,NA,NA,NA,NA,NA,NA,NA,NA,NA,southern bottlenose whale
bnw,NA,NA,NA,NA,NA,NA,NA,NA,NA,longman's beaked whale
bww,NA,NA,NA,NA,NA,NA,NA,NA,NA,sowerby's beaked whale
bdw,NA,NA,NA,NA,NA,NA,NA,NA,NA,andrews' beaked whale
buw,NA,NA,NA,NA,NA,NA,NA,NA,NA,hubbs' beaked whale
bbw,NA,NA,NA,NA,NA,NA,NA,NA,NA,blainville's beaked whale
zvs,NA,NA,NA,NA,NA,NA,NA,NA,NA,ramari’s beaked whale
bgw,NA,NA,NA,NA,NA,NA,NA,NA,NA,gervais' beaked whale
tgw,NA,NA,NA,NA,NA,NA,NA,NA,NA,ginkgo-toothed beaked whale
byw,NA,NA,NA,NA,NA,NA,NA,NA,NA,gray's beaked whale
bhw,NA,NA,NA,NA,NA,NA,NA,NA,NA,hector's beaked whale
bzz,NA,NA,NA,NA,NA,NA,NA,NA,NA,deraniyagala's beaked whale
tsw,NA,NA,NA,NA,NA,NA,NA,NA,NA,strap-toothed whale
btw,NA,NA,NA,NA,NA,NA,NA,NA,NA,true's beaked whale
zvt,NA,NA,NA,NA,NA,NA,NA,NA,NA,perrin’s beaked whale
bpw,NA,NA,NA,NA,NA,NA,NA,NA,NA,pigmy beaked whale
bjw,NA,NA,NA,NA,NA,NA,NA,NA,NA,stejneger's beaked whale
bxt,NA,NA,NA,NA,NA,NA,NA,NA,NA,spade-toothed whale
mep,NA,NA,NA,NA,NA,NA,NA,NA,NA,beaked whales nei
bsw,NA,NA,NA,NA,NA,NA,NA,NA,NA,sherpherd's beaked whale
bcw,NA,NA,NA,NA,NA,NA,NA,NA,NA,cuvier's beaked whale
gns,NA,NA,NA,NA,NA,NA,NA,NA,NA,ganges river dolphin
bhu,NA,NA,NA,NA,NA,NA,NA,NA,NA,indus river dolphin
bot,NA,NA,NA,NA,NA,NA,NA,NA,NA,boto
bji,NA,NA,NA,NA,NA,NA,NA,NA,NA,baiji
fra,NA,NA,NA,NA,NA,NA,NA,NA,NA,franciscana
bel,NA,NA,NA,NA,NA,NA,NA,NA,NA,white whale
nar,NA,NA,NA,NA,NA,NA,NA,NA,NA,narwhal
cmd,NA,NA,NA,NA,NA,NA,NA,NA,NA,commerson's dolphin
chd,NA,NA,NA,NA,NA,NA,NA,NA,NA,black dolphin
hvd,NA,NA,NA,NA,NA,NA,NA,NA,NA,heaviside's dolphin
hcd,NA,NA,NA,NA,NA,NA,NA,NA,NA,hector's dolphin
dcz,NA,NA,NA,NA,NA,NA,NA,NA,NA,long-beaked common dolphin
dco,NA,NA,NA,NA,NA,NA,NA,NA,NA,common dolphin
kpw,NA,NA,NA,NA,NA,NA,NA,NA,NA,pygmy killer whale
shw,NA,NA,NA,NA,NA,NA,NA,NA,NA,short-finned pilot whale
piw,NA,NA,NA,NA,NA,NA,NA,NA,NA,long-finned pilot whale
glo,NA,NA,NA,NA,NA,NA,NA,NA,NA,pilot whales nei
drr,NA,NA,NA,NA,NA,NA,NA,NA,NA,risso's dolphin
frd,NA,NA,NA,NA,NA,NA,NA,NA,NA,fraser's dolphin
dwh,NA,NA,NA,NA,NA,NA,NA,NA,NA,atlantic white-sided dolphin
bwd,NA,NA,NA,NA,NA,NA,NA,NA,NA,white-beaked dolphin
pld,NA,NA,NA,NA,NA,NA,NA,NA,NA,peale's dolphin
hrd,NA,NA,NA,NA,NA,NA,NA,NA,NA,hourglass dolphin
dwp,NA,NA,NA,NA,NA,NA,NA,NA,NA,pacific white-sided dolphin
ddu,NA,NA,NA,NA,NA,NA,NA,NA,NA,dusky dolphin
rnw,NA,NA,NA,NA,NA,NA,NA,NA,NA,northern right whale dolphin
rsw,NA,NA,NA,NA,NA,NA,NA,NA,NA,southern right whale dolphin
ird,NA,NA,NA,NA,NA,NA,NA,NA,NA,irrawaddy dolphin
idb,NA,NA,NA,NA,NA,NA,NA,NA,NA,australian snubfin dolphin
kiw,NA,NA,NA,NA,NA,NA,NA,NA,NA,killer whale
mew,NA,NA,NA,NA,NA,NA,NA,NA,NA,melon-headed whale
faw,NA,NA,NA,NA,NA,NA,NA,NA,NA,false killer whale
tuc,NA,NA,NA,NA,NA,NA,NA,NA,NA,tucuxi
tzg,NA,NA,NA,NA,NA,NA,NA,NA,NA,guyana dolphin
dhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,indo-pac. hump-backed dolphin
qpu,NA,NA,NA,NA,NA,NA,NA,NA,NA,indian ocean humpback dolphin
qpv,NA,NA,NA,NA,NA,NA,NA,NA,NA,australian humpback dolphin
dha,NA,NA,NA,NA,NA,NA,NA,NA,NA,atlantic hump-backed dolphin
dpn,NA,NA,NA,NA,NA,NA,NA,NA,NA,pantropical spotted dolphin
dcl,NA,NA,NA,NA,NA,NA,NA,NA,NA,clymene dolphin
dst,NA,NA,NA,NA,NA,NA,NA,NA,NA,striped dolphin
dsa,NA,NA,NA,NA,NA,NA,NA,NA,NA,atlantic spotted dolphin
dsi,NA,NA,NA,NA,NA,NA,NA,NA,NA,spinner dolphin
dsp,NA,NA,NA,NA,NA,NA,NA,NA,NA,spotted dolphins nei
rtd,NA,NA,NA,NA,NA,NA,NA,NA,NA,rough-toothed dolphin
dbz,NA,NA,NA,NA,NA,NA,NA,NA,NA,indo-pacif. bottlenose dolphin
twr,NA,NA,NA,NA,NA,NA,NA,NA,NA,tamanend’s bottlenose dolphin
dbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,bottlenose dolphin
dlp,NA,NA,NA,NA,NA,NA,NA,NA,NA,dolphins nei
neq,NA,NA,NA,NA,NA,NA,NA,NA,NA,narrow-ridged finless porpoise
pfi,NA,NA,NA,NA,NA,NA,NA,NA,NA,finless porpoise
spp,NA,NA,NA,NA,NA,NA,NA,NA,NA,spectacled porpoise
phr,NA,NA,NA,NA,NA,NA,NA,NA,NA,harbour porpoise
vaq,NA,NA,NA,NA,NA,NA,NA,NA,NA,vaquita
brp,NA,NA,NA,NA,NA,NA,NA,NA,NA,burmeister's porpoise
pda,NA,NA,NA,NA,NA,NA,NA,NA,NA,dall's porpoise
odn,NA,NA,NA,NA,NA,NA,NA,NA,NA,toothed whales nei
sef,NA,NA,NA,NA,NA,NA,NA,NA,NA,south american fur seal
snz,NA,NA,NA,NA,NA,NA,NA,NA,NA,new zealand fur seal
sga,NA,NA,NA,NA,NA,NA,NA,NA,NA,galapagos fur seal
sea,NA,NA,NA,NA,NA,NA,NA,NA,NA,antarctic fur seal
sjf,NA,NA,NA,NA,NA,NA,NA,NA,NA,juan fernandez fur seal
sek,NA,NA,NA,NA,NA,NA,NA,NA,NA,south african fur seal
sgf,NA,NA,NA,NA,NA,NA,NA,NA,NA,guadalupe fur seal
ssf,NA,NA,NA,NA,NA,NA,NA,NA,NA,subantarctic fur seal
sxq,NA,NA,NA,NA,NA,NA,NA,NA,NA,fur seals nei
sen,NA,NA,NA,NA,NA,NA,NA,NA,NA,northern fur seal
ssl,NA,NA,NA,NA,NA,NA,NA,NA,NA,steller sea lion
asl,NA,NA,NA,NA,NA,NA,NA,NA,NA,australian sea lion
sel,NA,NA,NA,NA,NA,NA,NA,NA,NA,south american sea lion
nsl,NA,NA,NA,NA,NA,NA,NA,NA,NA,new zealand sea lion
csl,NA,NA,NA,NA,NA,NA,NA,NA,NA,california sea lion
zaw,NA,NA,NA,NA,NA,NA,NA,NA,NA,galapagos sea lion
zox,NA,NA,NA,NA,NA,NA,NA,NA,NA,sea lions and fur seals nei
wal,NA,NA,NA,NA,NA,NA,NA,NA,NA,walrus
sez,NA,NA,NA,NA,NA,NA,NA,NA,NA,hooded seal
seb,NA,NA,NA,NA,NA,NA,NA,NA,NA,bearded seal
seg,NA,NA,NA,NA,NA,NA,NA,NA,NA,grey seal
slr,NA,NA,NA,NA,NA,NA,NA,NA,NA,ribbon seal
slp,NA,NA,NA,NA,NA,NA,NA,NA,NA,leopard seal
slw,NA,NA,NA,NA,NA,NA,NA,NA,NA,weddell seal
set,NA,NA,NA,NA,NA,NA,NA,NA,NA,crabeater seal
snp,NA,NA,NA,NA,NA,NA,NA,NA,NA,northern elephant seal
ses,NA,NA,NA,NA,NA,NA,NA,NA,NA,southern elephant seal
smm,NA,NA,NA,NA,NA,NA,NA,NA,NA,mediterranean monk seal
smh,NA,NA,NA,NA,NA,NA,NA,NA,NA,hawaiian monk seal
skc,NA,NA,NA,NA,NA,NA,NA,NA,NA,caribbean monk seal
srs,NA,NA,NA,NA,NA,NA,NA,NA,NA,ross seal
seh,NA,NA,NA,NA,NA,NA,NA,NA,NA,harp seal
sst,NA,NA,NA,NA,NA,NA,NA,NA,NA,larga seal
sec,NA,NA,NA,NA,NA,NA,NA,NA,NA,harbour seal
sac,NA,NA,NA,NA,NA,NA,NA,NA,NA,caspian seal
ser,NA,NA,NA,NA,NA,NA,NA,NA,NA,ringed seal
sbk,NA,NA,NA,NA,NA,NA,NA,NA,NA,baikal seal
zpx,NA,NA,NA,NA,NA,NA,NA,NA,NA,seals nei
sxx,NA,NA,NA,NA,NA,NA,NA,NA,NA,seals and sea lions nei
bpl,NA,NA,NA,NA,NA,NA,NA,NA,NA,polar bear
ots,NA,NA,NA,NA,NA,NA,NA,NA,NA,sea otter
otm,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine otter
sew,NA,NA,NA,NA,NA,NA,NA,NA,NA,amazonian manatee
wim,NA,NA,NA,NA,NA,NA,NA,NA,NA,west indian manatee
wam,NA,NA,NA,NA,NA,NA,NA,NA,NA,west african manatee
dug,NA,NA,NA,NA,NA,NA,NA,NA,NA,dugong
wca,NA,NA,NA,NA,NA,NA,NA,NA,NA,whales nei
mam,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquatic mammals nei
cvc,NA,NA,NA,NA,NA,NA,NA,NA,NA,chilean frog
kuo,NA,NA,NA,NA,NA,NA,NA,NA,NA,conraua goliath
fop,NA,NA,NA,NA,NA,NA,NA,NA,NA,indian skipper frog
frh,NA,NA,NA,NA,NA,NA,NA,NA,NA,indian green frog
frk,NA,NA,NA,NA,NA,NA,NA,NA,NA,crab-eating frog
foi,NA,NA,NA,NA,NA,NA,NA,NA,NA,indian rice frog
zhb,NA,NA,NA,NA,NA,NA,NA,NA,NA,east asian bullfrog
fos,NA,NA,NA,NA,NA,NA,NA,NA,NA,jerdon's bullfrog
frt,NA,NA,NA,NA,NA,NA,NA,NA,NA,indus valley bullfrog
foy,NA,NA,NA,NA,NA,NA,NA,NA,NA,limnonectes blythii
frm,NA,NA,NA,NA,NA,NA,NA,NA,NA,limnonectes magnus
kbu,NA,NA,NA,NA,NA,NA,NA,NA,NA,giant spiny-chested frog
yuc,NA,NA,NA,NA,NA,NA,NA,NA,NA,leptodactylus bolivianus
yue,NA,NA,NA,NA,NA,NA,NA,NA,NA,leptodactylus pentadactylus
gfo,NA,NA,NA,NA,NA,NA,NA,NA,NA,glyphoglossus molossus
xul,NA,NA,NA,NA,NA,NA,NA,NA,NA,african clawed frog
xum,NA,NA,NA,NA,NA,NA,NA,NA,NA,xenopus muelleri
fou,NA,NA,NA,NA,NA,NA,NA,NA,NA,amietia fuscigula
fov,NA,NA,NA,NA,NA,NA,NA,NA,NA,amietia vertebralis
yxd,NA,NA,NA,NA,NA,NA,NA,NA,NA,african bull frog
rlg,NA,NA,NA,NA,NA,NA,NA,NA,NA,red-legged frog
fok,NA,NA,NA,NA,NA,NA,NA,NA,NA,american bull frog
fgy,NA,NA,NA,NA,NA,NA,NA,NA,NA,pig frog
frq,NA,NA,NA,NA,NA,NA,NA,NA,NA,river frog
fgp,NA,NA,NA,NA,NA,NA,NA,NA,NA,northern leopard frog
fgl,NA,NA,NA,NA,NA,NA,NA,NA,NA,european frog
xhy,NA,NA,NA,NA,NA,NA,NA,NA,NA,dark-spotted frog
fgi,NA,NA,NA,NA,NA,NA,NA,NA,NA,european green frog
fgm,NA,NA,NA,NA,NA,NA,NA,NA,NA,agile frog
fgc,NA,NA,NA,NA,NA,NA,NA,NA,NA,greek frog
foe,NA,NA,NA,NA,NA,NA,NA,NA,NA,rana latastei
fgt,NA,NA,NA,NA,NA,NA,NA,NA,NA,common frog
frg,NA,NA,NA,NA,NA,NA,NA,NA,NA,frogs
fqc,NA,NA,NA,NA,NA,NA,NA,NA,NA,telmatobius culeus
awd,NA,NA,NA,NA,NA,NA,NA,NA,NA,chinese giant salamander
ayw,NA,NA,NA,NA,NA,NA,NA,NA,NA,diamondback terrapin
ayk,NA,NA,NA,NA,NA,NA,NA,NA,NA,common slider
wpe,NA,NA,NA,NA,NA,NA,NA,NA,NA,arrau river turtle
ywn,NA,NA,NA,NA,NA,NA,NA,NA,NA,red-necked pond turtle
yrw,NA,NA,NA,NA,NA,NA,NA,NA,NA,chinese pond turtle
qyh,NA,NA,NA,NA,NA,NA,NA,NA,NA,chinese stripe-necked turtle
wqa,NA,NA,NA,NA,NA,NA,NA,NA,NA,florida softshell turtle
dsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,malayan softshell turtle
nqh,NA,NA,NA,NA,NA,NA,NA,NA,NA,wattle-necked softshell turtle
tts,NA,NA,NA,NA,NA,NA,NA,NA,NA,chinese softshell turtle
ttl,loggerhead turtle,caretta caretta,caretta,cheloniidae,"amphibia, reptilia",turtles,NA,yes,en_name,loggerhead turtle
tug,green turtle,chelonia mydas,chelonia,cheloniidae,"amphibia, reptilia",turtles,NA,yes,en_name,green turtle
tth,hawksbill turtle,eretmochelys imbricata,eretmochelys,cheloniidae,"amphibia, reptilia",turtles,NA,yes,en_name,hawksbill turtle
lky,NA,NA,NA,NA,NA,NA,NA,NA,NA,kemp's ridley turtle
lkv,NA,NA,NA,NA,NA,NA,NA,NA,NA,olive ridley turtle
fbt,NA,NA,NA,NA,NA,NA,NA,NA,NA,flatback turtle
dkk,NA,NA,NA,NA,NA,NA,NA,NA,NA,leatherback turtle
tul,river and lake turtles nei,testudinata,testudinata,NA,"amphibia, reptilia",turtles,river and lake turtles,yes,en_name,river and lake turtles nei
ttx,marine turtles nei,testudinata,testudinata,NA,"amphibia, reptilia",turtles,marine turtles,yes,en_name,marine turtles nei
agm,NA,NA,NA,NA,NA,NA,NA,NA,NA,american alligator
gtw,NA,NA,NA,NA,NA,NA,NA,NA,NA,chinese alligator
cai,NA,NA,NA,NA,NA,NA,NA,NA,NA,spectacled caiman
imo,NA,NA,NA,NA,NA,NA,NA,NA,NA,broad-nosed caiman
imy,NA,NA,NA,NA,NA,NA,NA,NA,NA,paraguayan caiman
mhw,NA,NA,NA,NA,NA,NA,NA,NA,NA,black caiman
ucb,NA,NA,NA,NA,NA,NA,NA,NA,NA,cuvier's dwarf caiman
uci,NA,NA,NA,NA,NA,NA,NA,NA,NA,smooth-fronted caiman
yuu,NA,NA,NA,NA,NA,NA,NA,NA,NA,american crocodile
yun,NA,NA,NA,NA,NA,NA,NA,NA,NA,orinoco crocodile
crh,NA,NA,NA,NA,NA,NA,NA,NA,NA,australian crocodile
yuq,NA,NA,NA,NA,NA,NA,NA,NA,NA,philippine crocodile
cme,NA,NA,NA,NA,NA,NA,NA,NA,NA,morelet's crocodile
cri,NA,NA,NA,NA,NA,NA,NA,NA,NA,nile crocodile
cng,NA,NA,NA,NA,NA,NA,NA,NA,NA,new guinea crocodile
kku,NA,NA,NA,NA,NA,NA,NA,NA,NA,mugger crocodile
cdp,NA,NA,NA,NA,NA,NA,NA,NA,NA,estuarine crocodile
cmb,NA,NA,NA,NA,NA,NA,NA,NA,NA,cuban crocodile
cds,NA,NA,NA,NA,NA,NA,NA,NA,NA,siamese crocodile
yuk,NA,NA,NA,NA,NA,NA,NA,NA,NA,slender-snouted crocodile
osw,NA,NA,NA,NA,NA,NA,NA,NA,NA,african dwarf crocodile
ghf,NA,NA,NA,NA,NA,NA,NA,NA,NA,false gharial
cro,NA,NA,NA,NA,NA,NA,NA,NA,NA,crocodiles and alligators nei
gvg,NA,NA,NA,NA,NA,NA,NA,NA,NA,gharial
bvw,NA,NA,NA,NA,NA,NA,NA,NA,NA,light-bulb sea squirt
qwd,NA,NA,NA,NA,NA,NA,NA,NA,NA,tylobranchion speciosum
qyb,NA,NA,NA,NA,NA,NA,NA,NA,NA,sycozoa sigillinoides
axu,NA,NA,NA,NA,NA,NA,NA,NA,NA,aplidiopsis discoveryi
azy,NA,NA,NA,NA,NA,NA,NA,NA,NA,polyclinum aurantium
axj,NA,NA,NA,NA,NA,NA,NA,NA,NA,ascidia challengeri
azw,NA,NA,NA,NA,NA,NA,NA,NA,NA,ascidia mentula
dtq,NA,NA,NA,NA,NA,NA,NA,NA,NA,ascidia virginea
duv,NA,NA,NA,NA,NA,NA,NA,NA,NA,dirty sea-squirt
duq,NA,NA,NA,NA,NA,NA,NA,NA,NA,hairy sea-squirt
koh,NA,NA,NA,NA,NA,NA,NA,NA,NA,ciona edwardsi
kjo,NA,NA,NA,NA,NA,NA,NA,NA,NA,ciona fascicularis
kjp,NA,NA,NA,NA,NA,NA,NA,NA,NA,ciona gelatinosa
kjq,NA,NA,NA,NA,NA,NA,NA,NA,NA,ciona imperfecta
koj,NA,NA,NA,NA,NA,NA,NA,NA,NA,ciona
kjr,NA,NA,NA,NA,NA,NA,NA,NA,NA,ciona mollis
kjs,NA,NA,NA,NA,NA,NA,NA,NA,NA,ciona savignyi
egz,NA,NA,NA,NA,NA,NA,NA,NA,NA,eugyra kerguelenensis
mvv,NA,NA,NA,NA,NA,NA,NA,NA,NA,molgula kerguelenensis
mvw,NA,NA,NA,NA,NA,NA,NA,NA,NA,molgula malvinensis
mvz,NA,NA,NA,NA,NA,NA,NA,NA,NA,molgula pedunculata
mwb,NA,NA,NA,NA,NA,NA,NA,NA,NA,molgula sluiteri
wbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,stalked sea squirt
hyz,NA,NA,NA,NA,NA,NA,NA,NA,NA,red oyas
mvl,NA,NA,NA,NA,NA,NA,NA,NA,NA,rock violet
mwv,NA,NA,NA,NA,NA,NA,NA,NA,NA,grooved sea squirt
ssg,grooved sea squirt,microcosmus sulcatus,microcosmus,pyuridae,invertebrata aquatica,sea-squirts and other tunicates,NA,yes,en_name,sand violet
mww,NA,NA,NA,NA,NA,NA,NA,NA,NA,microcosmus spp
sse,red sea squirt,pyura chilensis,pyura,pyuridae,invertebrata aquatica,sea-squirts and other tunicates,NA,yes,en_name,red sea squirt
yaq,NA,NA,NA,NA,NA,NA,NA,NA,NA,pyura praeputialis
ssr,red bait,pyura stolonifera,pyura,pyuridae,invertebrata aquatica,sea-squirts and other tunicates,NA,yes,en_name,red bait
zdc,NA,NA,NA,NA,NA,NA,NA,NA,NA,star squirt
yev,NA,NA,NA,NA,NA,NA,NA,NA,NA,sea squirt
ykv,NA,NA,NA,NA,NA,NA,NA,NA,NA,cnemidocarpa verrucosa
ouv,NA,NA,NA,NA,NA,NA,NA,NA,NA,oligocarpa megalorchis
yek,NA,NA,NA,NA,NA,NA,NA,NA,NA,styela clava
yxl,NA,NA,NA,NA,NA,NA,NA,NA,NA,styela nordenskjoeldi
yeq,NA,NA,NA,NA,NA,NA,NA,NA,NA,pleated sea squirt
ssx,sea squirts nei,ascidiacea,ascidiacea,NA,invertebrata aquatica,sea-squirts and other tunicates,sea squirts,yes,en_name,ascidiaceans nei
qhs,NA,NA,NA,NA,NA,NA,NA,NA,NA,salpa spp
spx,salps,salpidae,salpidae,salpidae,invertebrata aquatica,sea-squirts and other tunicates,NA,yes,en_name,salps
qbj,NA,NA,NA,NA,NA,NA,NA,NA,NA,pyrosoma atlanticum
dlz,NA,NA,NA,NA,NA,NA,NA,NA,NA,dolioletta spp
qhm,NA,NA,NA,NA,NA,NA,NA,NA,NA,oikopleura (vexillaria) dioica
qhf,NA,NA,NA,NA,NA,NA,NA,NA,NA,oikopleura (coecaria) fusiformis
qhg,NA,NA,NA,NA,NA,NA,NA,NA,NA,oikopleura (vexillaria) gorskyi
qhh,NA,NA,NA,NA,NA,NA,NA,NA,NA,oikopleura (vexillaria) labradoriensis
qhn,NA,NA,NA,NA,NA,NA,NA,NA,NA,oikopleura (coecaria) longicauda
qhj,NA,NA,NA,NA,NA,NA,NA,NA,NA,oikopleura (vexillaria) parva
qhq,NA,NA,NA,NA,NA,NA,NA,NA,NA,oikopleura (vexillaria) vanhoeffeni
qhk,NA,NA,NA,NA,NA,NA,NA,NA,NA,oikopleura (vexillaria) villafrancae
avk,NA,NA,NA,NA,NA,NA,NA,NA,NA,austrodecus simulans
axk,NA,NA,NA,NA,NA,NA,NA,NA,NA,austropallene brachyura
yxn,NA,NA,NA,NA,NA,NA,NA,NA,NA,callipallene brevirostris
otz,NA,NA,NA,NA,NA,NA,NA,NA,NA,oropallene dimorpha
qaj,NA,NA,NA,NA,NA,NA,NA,NA,NA,pseudopallene glutus
qdh,NA,NA,NA,NA,NA,NA,NA,NA,NA,colossendeis enigmatica
qdi,NA,NA,NA,NA,NA,NA,NA,NA,NA,colossendeis robusta
qdx,NA,NA,NA,NA,NA,NA,NA,NA,NA,giant sea spiders nei
dze,NA,NA,NA,NA,NA,NA,NA,NA,NA,decolopoda australis
nyj,NA,NA,NA,NA,NA,NA,NA,NA,NA,nymphon brachyrhynchum
njq,NA,NA,NA,NA,NA,NA,NA,NA,NA,elegant sea spider
owh,NA,NA,NA,NA,NA,NA,NA,NA,NA,pallenopsis vanhoeffeni
qug,NA,NA,NA,NA,NA,NA,NA,NA,NA,pycnogonum litorale
pwj,NA,NA,NA,NA,NA,NA,NA,NA,NA,sea spiders
bwu,NA,NA,NA,NA,NA,NA,NA,NA,NA,mangrove horseshoe crab
hsc,horseshoe crab,limulus polyphemus,limulus,limulidae,invertebrata aquatica,horseshoe crabs and other arachnoids,NA,yes,en_name,horseshoe crab
wyp,NA,NA,NA,NA,NA,NA,NA,NA,NA,tri-spine horseshoe crab
ech,echinoderms,echinodermata,echinodermata,NA,invertebrata aquatica,sea-urchins and other echinoderms,NA,yes,en_name,echinoderms
ova,NA,NA,NA,NA,NA,NA,NA,NA,NA,antedon bifida
ovq,NA,NA,NA,NA,NA,NA,NA,NA,NA,leptometra phalangium
qnr,NA,NA,NA,NA,NA,NA,NA,NA,NA,promachocrinus kerguelensis
qns,NA,NA,NA,NA,NA,NA,NA,NA,NA,solanometra antarctica
dwd,NA,NA,NA,NA,NA,NA,NA,NA,NA,hyocrinidae
wcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,rhizocrinus lofotensis
cwd,NA,NA,NA,NA,NA,NA,NA,NA,NA,feather stars and sea lilies
sth,red starfish,asterias rubens,asterias,asteriidae,invertebrata aquatica,sea-urchins and other echinoderms,NA,yes,en_name,red starfish
ztq,NA,NA,NA,NA,NA,NA,NA,NA,NA,leptasterias (leptasterias) muelleri
dsc,NA,NA,NA,NA,NA,NA,NA,NA,NA,marthasterias glacialis
rxq,NA,NA,NA,NA,NA,NA,NA,NA,NA,cross-fish
fdh,NA,NA,NA,NA,NA,NA,NA,NA,NA,asteriidae
avg,NA,NA,NA,NA,NA,NA,NA,NA,NA,anseropoda placenta
dbd,NA,NA,NA,NA,NA,NA,NA,NA,NA,cuenotaster involutus
ver,NA,NA,NA,NA,NA,NA,NA,NA,NA,cycethra verrucosa
tzm,NA,NA,NA,NA,NA,NA,NA,NA,NA,tremaster mirabilis
fnr,NA,NA,NA,NA,NA,NA,NA,NA,NA,cushion stars nei
fnd,NA,NA,NA,NA,NA,NA,NA,NA,NA,astropecten aranciacus
avc,NA,NA,NA,NA,NA,NA,NA,NA,NA,astropecten irregularis
fnc,NA,NA,NA,NA,NA,NA,NA,NA,NA,astropecten spp
bwj,NA,NA,NA,NA,NA,NA,NA,NA,NA,bathybiaster loripes
dmg,NA,NA,NA,NA,NA,NA,NA,NA,NA,magnificent sea-star
jvy,NA,NA,NA,NA,NA,NA,NA,NA,NA,leptychaster kerguelenensis
qap,NA,NA,NA,NA,NA,NA,NA,NA,NA,abyssal star
qaq,NA,NA,NA,NA,NA,NA,NA,NA,NA,geometric star
qdy,NA,NA,NA,NA,NA,NA,NA,NA,NA,psilaster andromeda
bhv,NA,NA,NA,NA,NA,NA,NA,NA,NA,five-spined star
hza,NA,NA,NA,NA,NA,NA,NA,NA,NA,cheiraster (luidiaster) hirsutus
bhz,NA,NA,NA,NA,NA,NA,NA,NA,NA,armless stars
hbq,NA,NA,NA,NA,NA,NA,NA,NA,NA,henricia obesa
ihz,NA,NA,NA,NA,NA,NA,NA,NA,NA,polar slender sea star
rfh,NA,NA,NA,NA,NA,NA,NA,NA,NA,rhopiella hirsuta
dbq,NA,NA,NA,NA,NA,NA,NA,NA,NA,pentagon star
hfy,NA,NA,NA,NA,NA,NA,NA,NA,NA,hippasteria falklandica
hvz,NA,NA,NA,NA,NA,NA,NA,NA,NA,trojan star
kzv,NA,NA,NA,NA,NA,NA,NA,NA,NA,rock star
qwv,NA,NA,NA,NA,NA,NA,NA,NA,NA,sladen's star
kzu,NA,NA,NA,NA,NA,NA,NA,NA,NA,labidiaster annulatus
dth,NA,NA,NA,NA,NA,NA,NA,NA,NA,luidia ciliaris
dra,NA,NA,NA,NA,NA,NA,NA,NA,NA,luidia sarsii
azl,NA,NA,NA,NA,NA,NA,NA,NA,NA,acodontaster elongatus
qbu,NA,NA,NA,NA,NA,NA,NA,NA,NA,pentagonal tooth-star
qbt,NA,NA,NA,NA,NA,NA,NA,NA,NA,odontaster meridionalis
qdb,NA,NA,NA,NA,NA,NA,NA,NA,NA,glabraster antarctica
zun,NA,NA,NA,NA,NA,NA,NA,NA,NA,red cushion star
uew,NA,NA,NA,NA,NA,NA,NA,NA,NA,northern scarlet star
rve,NA,NA,NA,NA,NA,NA,NA,NA,NA,pteraster rugatus
drq,NA,NA,NA,NA,NA,NA,NA,NA,NA,crossaster papposus
ddm,NA,NA,NA,NA,NA,NA,NA,NA,NA,sun-star
dza,NA,NA,NA,NA,NA,NA,NA,NA,NA,smooth sun star
rew,NA,NA,NA,NA,NA,NA,NA,NA,NA,solaster regularis
twi,NA,NA,NA,NA,NA,NA,NA,NA,NA,chubby sun-star
dbt,NA,NA,NA,NA,NA,NA,NA,NA,NA,cat's-foot star
iia,NA,NA,NA,NA,NA,NA,NA,NA,NA,rosy starfish
zor,NA,NA,NA,NA,NA,NA,NA,NA,NA,rat-tail stars nei
stf,starfishes nei,asteroidea,asteroidea,NA,invertebrata aquatica,sea-urchins and other echinoderms,starfishes,yes,en_name,starfishes nei
fek,NA,NA,NA,NA,NA,NA,NA,NA,NA,acrocnida brachiata
fzl,NA,NA,NA,NA,NA,NA,NA,NA,NA,brittlestar
avz,NA,NA,NA,NA,NA,NA,NA,NA,NA,asteronyx loveni
ojv,NA,NA,NA,NA,NA,NA,NA,NA,NA,ophiomisidium speciosum
ewj,NA,NA,NA,NA,NA,NA,NA,NA,NA,astrospartus mediterraneus
awc,NA,NA,NA,NA,NA,NA,NA,NA,NA,waite’s snake-star
avv,NA,NA,NA,NA,NA,NA,NA,NA,NA,astrotoma agassizii
ghj,NA,NA,NA,NA,NA,NA,NA,NA,NA,gorgonocephalus chilensis
qcx,NA,NA,NA,NA,NA,NA,NA,NA,NA,gorgons head basket-stars nei
ozb,NA,NA,NA,NA,NA,NA,NA,NA,NA,ophiacantha imago
ozc,NA,NA,NA,NA,NA,NA,NA,NA,NA,ophiosabine pentactis
